Nombre,Artista,Enlace del video-web,Nombre en la carpeta del drive,Anime,Imagen Web,Nombre imagen drive,Temporada,Año
Hamidashi Gomen,Porno Graffitti,https://v.animethemes.moe/Hikuidori-OP1.webm,Hikuidori-OP1.webm,Hikuidori,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/o53lbEGTk4JGXrGPf2L4RiYsM1ETdBDYkSSyQaMw.png,o53lbEGTk4JGXrGPf2L4RiYsM1ETdBDYkSSyQaMw.png,Winter,2026
Cold Night,HANA,https://v.animethemes.moe/MedalistS2-OP1.webm,MedalistS2-OP1.webm,Medalist 2nd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/CcXpJlXkWnHTXEPL84kRw3KMgM1VL4cLe1Fk46FZ.jpg,CcXpJlXkWnHTXEPL84kRw3KMgM1VL4cLe1Fk46FZ.jpg,Winter,2026
